lat,lng
33.5,-112.11
31.71,-110.07
32.84,-109.72
29.97,-90.05
41.3,-72.25
42.76,-104.45
30.46,-84.29
25.79,-80.25
41.26,-72.95
41.72,-70.59
41.58,-70.6
30.06,-90.48
42.4,-88.18
46.39,-117.07
39.27,-119.55
37.65,-97.32
37.97,-122.02
33.32,-104.52
35.13,-108.5
28.64,-81.39
37.65,-112.43
34.03,-77.9
41.44,-75.65
27.89,-82.84
25.63,-80.34
39.48,-106.04
32.26,-90.24
33.81,-78.71
40.28,-86.51
30.85,-88.06
30.45,-90.06
37.38,-98.82
35.57,-97.53
39.46,-105.37
38.88,-104.58
39.02,-74.93
34.04,-81.01
41.78,-87.61
39.34,-107.18
28.78,-81.27
28.52,-81.36
30.64,-88.27
41.63,-87.51
40.55,-86.53
33.94,-118.35
45.3,-114.52
40.55,-90.04
32.67,-114.41
32.63,-114.4
33.38,-114.67
37.1,-122.04
26.28,-80.1
38.7,-90.47
31.18,-81.38
41.06,-121.25
40.98,-72.12
34.49,-82.01
46.6,-120.53
21.42,-158.18
32.67,-117.11
33.88,-118.39
33.04,-117.25
30.32,-90.83
25.93,-80.17
30.38,-87.55
30.25,-88.11
39.34,-107.18
39.44,-104.96
47.65,-117.32
39.81,-86.16
40.69,-73.47
40.86,-72.55
37.66,-121.99
34.17,-103.34
33.36,-104.53
33.32,-104.52
34.62,-79.67
39.8,-86.15
26.28,-80.1
25.62,-80.36
29.97,-90.39
30.37,-88.54
45.1,-92.99
46.58,-121.69
45.14,-123.46
48.98,-118.52
43.64,-116.23
47.69,-117.69
46.25,-119.91
46.61,-120.46
30.07,-94.15
29.71,-95.57
32,-102.1
40.92,-98.34
25.58,-80.36
25.98,-80.22
29.94,-90.12
30.59,-88.09
27.92,-82.5
48.13,-122.77
48.61,-116.83
25.77,-80.32
29.7,-83.4
25.58,-80.33
27.44,-82.59
26.16,-81.79
25.83,-80.25
38.21,-81.61
42.05,-70.19
28.52,-81.36
42.88,-106.33
36.98,-76.41
36.79,-76.28
39.15,-123.2
37.06,-122.01
40.91,-72.61
40.59,-73.71
47.31,-120.62
36.92,-76.06
26.16,-80.27
27.86,-82.77
26.24,-80.22
40.1,-74.23
34.94,-83.41
32.82,-79.86
30.69,-88.06
30.45,-88.63
33.37,-95.69
30.08,-94.17
30.66,-94.95
37.67,-87.31
37.32,-120.54
29.97,-90.04
30.38,-90.04
30.05,-90.71
30.46,-90.11
30.37,-90.06
41.5,-90.51
28.45,-96.41
30.66,-88.49
30.07,-90.49
28.41,-81.44
32.03,-81.07
33.18,-86.26
32.12,-81.55
32.88,-84.33
32.83,-85.96
32.06,-81.09
32.46,-85.01
30.67,-88.08
33.93,-84.4
32.32,-81.25
30.77,-88.08
31.19,-81.49
33.42,-82.03
33.42,-82.03
30.65,-87.91
36.18,-121.7
34.44,-119.58
25.76,-80.31
25.58,-80.4
44.44,-71.19
40.86,-73.11
40.57,-74.74
40.87,-73.02
31.46,-85.66
39.96,-74.14
38.46,-120.04
42.66,-73.77
39.63,-77.74
29.39,-94.94
25.77,-80.31
25.77,-80.32
28.52,-81.34
28.69,-99.83
31.78,-100.01
30.59,-96.33
30.13,-94.15
32.4,-99.4
29.29,-94.82
29.79,-95.39
40.6,-111.52
29.29,-94.8
25.69,-80.35
25.79,-80.23
26.16,-80.12
25.78,-80.22
24.6,-81.66
25.82,-80.29
25.86,-80.31
25.76,-80.38
25.78,-80.26
25.98,-80.23
26.11,-80.15
25.88,-80.31
28.73,-81.88
25.76,-80.38
26.23,-80.11
25.6,-80.39
39.92,-75.16
40,-75.12
33.53,-86.69
47.62,-122.1
31.05,-97.39
32.58,-96.31
29.92,-95.51
33.09,-98.59
31.54,-97.17
41.63,-70.93
40.8,-96.68
26.16,-80.15
25.83,-80.28
26.15,-80.14
25.87,-80.33
25.86,-80.24
30.47,-88.3
30.46,-88.87
44.04,-123.04
46.71,-124.01
28.03,-82.42
28.6,-81.34
40.72,-74.01
40.6,-74.33
31.95,-97.31
36.8,-98.68
29.74,-95.33
38.17,-92.69
41.29,-99.92
33.72,-90.73
37.27,-76.68
33.51,-79.49
29.98,-90.17
32.76,-96.58
28.95,-95.29
29.4,-94.91
46.77,-113.71
38.44,-75.06
38.25,-104.63
47.53,-111.28
26.23,-81.64
46.97,-112.57
43.03,-110.06
39.25,-106.06
40.72,-111.28
35.86,-83.56
46.56,-120.48
36.28,-76.19
34.03,-78.82
41.85,-87.75
41.61,-87.58
36.37,-84.04
34.15,-79.75
43.2,-112.39
29.64,-95.53
26.29,-81.81
26.85,-80.06
37.77,-122.18
47.71,-117.38
39.05,-84.44
36.89,-97.05
40.76,-73.02
25.85,-80.26
31.28,-81.42
34.2,-86.17
29.97,-90.11
29.95,-90.14
30.01,-90.41
40.62,-87.32
57.05,-135.32
40.01,-86.17
42.82,-75.54
25.93,-80.18
25.92,-80.17
36.71,-108.13
33.42,-105.73
32.77,-108.28
36.64,-106.57
36.01,-105.3
33.38,-104.54
35.6,-89.26
29.81,-95.4
29.86,-90.08
35.3,-98.99
44.72,-93.37
25.94,-80.18
24.57,-81.75
25.94,-80.2
29.75,-95.37
43.32,-78.84
47.62,-116.69
25.77,-80.3
25.96,-80.27
32.41,-80.69
33.63,-78.97
32.89,-81.09
30.07,-99.2
30.58,-90.55
35.83,-78.86
32.43,-80.67
25.99,-80.35
25.77,-80.29
25.78,-80.19
25.9,-80.3
25.87,-80.31
25.89,-80.19
25.49,-80.44
25.46,-80.44
25.48,-80.44
33.83,-84.99
40.77,-86.37
29.7,-95.59
29.5,-94.51
29.32,-96.1
30.92,-94
28.67,-99.17
26.32,-98.19
32.9,-96.88
29.64,-95.25
33.94,-84.19
31.88,-82.59
26.18,-80.21
24.77,-80.95
25.63,-80.35
27.42,-80.35
40.03,-86.3
25.73,-80.37
44.02,-123.12
43.98,-123.1
30.32,-92.03
30.35,-91.89
30.25,-93.19
30.26,-93.26
26.21,-97.69
31.13,-97.72
40.41,-74.03
40.18,-74.02
39.37,-74.42
40.44,-74.12
26.4,-81.42
47.38,-117.18
41.28,-72.53
41.53,-72.81
31.93,-82.68
34.95,-85.72
25.72,-80.42
30.38,-89.12
30.14,-92.1
30.05,-90.69
30.39,-91.19
30.23,-93.21
32.38,-88.7
30.43,-90.94
40.81,-73.01
40.83,-73.28
38.98,-76.17
34.22,-77.9
33.99,-81.36
25.74,-80.39
46.83,-68.14
29.88,-95.51
29.6,-95.52
29.5,-98.49
30.23,-97.79
29.73,-95.43
29.71,-95.66
28.68,-100.47
29.29,-94.81
33.74,-83.3
34.31,-83.87
33.53,-86.87
33.44,-82
30.19,-93.22
30.33,-92.61
30.22,-93.21
30.36,-93.11
32.5,-93.8
30.18,-93.2
30.36,-90.06
29.99,-90.18
30.19,-93.25
30.24,-92.83
32.45,-93.71
30.21,-93.23
30.37,-90.09
30.25,-93.39
30.24,-93.37
30.44,-88.54
30.26,-89.42
35.21,-101.88
29.45,-94.67
41.2,-74.54
40.82,-73.02
40.95,-72.59
29.74,-95.34
31.81,-106.46
41.32,-72.91
31.61,-106.15
27.82,-97.07
29.98,-94
29.74,-95.36
32.35,-86.3
31.16,-81.48
32.77,-96.79
29.48,-94.94
30.07,-95.19
29.91,-90.04
29.73,-95.48
32.88,-96.81
29.91,-90.01
30.13,-92.09
30.17,-93.22
30.33,-93.21
29.99,-90.13
29.94,-90.02
30.18,-93.21
30.43,-90.51
29.83,-95.39
26.25,-97.54
25.84,-80.27
29.96,-90.06
39.75,-84.06
39.1,-84.29
41.67,-81.31
41.34,-81.79
38.52,-82.66
33.49,-111.97
38.7,-75.12
32.19,-110.84
33.54,-112.15
33.57,-112.24
38.46,-75.63
33.38,-112.07
31.41,-109.87
33.69,-111.87
38.77,-75.16
38.72,-75.08
33.64,-112.04
33.39,-112.06
33.47,-112.03
33.48,-112.17
33.48,-112.02
40.86,-72.55
27.87,-82.33
34.25,-82.56
34.19,-79.74
39.58,-74.23
35.49,-77.99
31.92,-81.32
38.13,-75.95
33.47,-84.34
34.36,-79.83
33.69,-80.24
42.05,-70.19
34.14,-82.49
32.02,-80.96
36.74,-75.94
33.31,-81.14
33.54,-81.82
35.33,-80.86
34.96,-80.02
33.53,-80.31
34.21,-79.19
33.72,-79.7
34.1,-79.32
34.24,-79.79
36.86,-76
36.75,-75.95
34.58,-112.44
33.49,-112
41.03,-72.41
25.85,-80.13
33.46,-79.13
33.73,-81.19
34.32,-79.89
36.88,-75.99
31.15,-81.39
34.83,-78.02
33.46,-82.42
32.69,-114.52
32.26,-109.86
47.65,-117.38
33.95,-78.21
48.29,-118.22
26.64,-80.13
35.03,-97.96
40.74,-72.88
30.36,-89.14
26.64,-81.83
32.57,-80.31
30.36,-88.66
48.33,-114.16
32.72,-79.96
34.72,-84.84
32.02,-81
41.67,-86.87
48.56,-123.03
43.11,-88.01
37.97,-87.56
46.67,-92.85
33.86,-80.05
27.89,-81.85
31.97,-81.22
34.77,-82.75
40,-74.06
40.78,-73.96
41.55,-73.49
41.46,-70.61
39.28,-80.33
34.7,-76.72
45.7,-108.65
42.4,-90.33
41.12,-101.7
29.96,-90.04
29.94,-90.11
29.26,-94.84
33.47,-112.13
33.5,-112.12
39.81,-89.63
40.18,-75.63
34.11,-118.38
37.79,-122.46
38.37,-122.59
27.93,-82.79
31.21,-81.37
31.98,-81.22
43.12,-75.31
38.94,-74.96
42.48,-88.15
41.99,-87.72
33.89,-118.23
33.75,-116.74
33.63,-84.53
31.89,-87.73
44.75,-108.75
36.12,-95.85
40.76,-80.28
36.8,-76.32
41.17,-86.5
25.82,-80.36
31.18,-81.38
27.9,-82.83
34.58,-79.54
33.2,-84.11
25.77,-80.37
41.75,-84.93
39.96,-80.75
39.38,-79
37.3,-122.24
29.03,-95.56
26.36,-98.21
29.41,-94.93
26.28,-98.34
32.48,-96.99
29.37,-98.64
28.68,-99.82
41.88,-87.74
35.56,-97.66
43.09,-88
43.12,-87.94
43.17,-78.68
30.08,-94.15
29.29,-95.74
30.11,-94.13
32.71,-96.98
29.19,-95.42
29.97,-93.98
29.25,-95.43
30.94,-93.94
26.65,-81.84
41.02,-73.64
30,-90.19
32.05,-81.09
35.56,-97.54
46.96,-122.93
30.52,-89.63
30.33,-87.69
30.41,-88.79
26.31,-80.11
30.4,-88.78
30.68,-88.14
32.8,-80.13
30.4,-89.04
32.04,-81.09
33.54,-83.95
40.84,-84.93
30.01,-90.21
42.03,-88.06
36.83,-76.18
26.12,-80.15
25.98,-80.16
32.8,-79.77
32.05,-81.09
30.38,-89.37
48.06,-122.2
39.68,-74.15
40.92,-73.76
30.64,-87.9
30.72,-88.15
35.09,-83.06
32.92,-79.76
36.89,-76.05
41.87,-84.64
44.96,-71.69
35.62,-82.34
33.59,-78.98
33.81,-78.7
34.07,-78.88
27.76,-82.66
39.59,-110.78
34.1,-81.16
37.22,-76.67
42.21,-70.75
40.55,-111.15
39.99,-105.87
43.73,-87.83
34.18,-103.36
25.87,-80.2
28.53,-81.2
36.76,-75.95
33.85,-79.76
28.7,-81.38
36.73,-75.94
33.9,-78.42
28.39,-81.41
25.56,-80.34
36.97,-76.28
31.29,-81.34
28.95,-81.44
28.75,-81.4
29.29,-94.83
29.37,-94.97
31.14,-81.38
30.4,-87.46
28.64,-81.28
26.12,-80.22
32.02,-80.86
25.82,-80.13
25.77,-80.26
27.28,-82.51
38.73,-87.69
35.12,-89.85
28.26,-81.28
29.99,-93.97
32.7,-96.85
29.75,-95.39
32.5,-96.99
32.77,-97.47
39.15,-78.16
37.29,-76.77
29.64,-95.46
29.3,-94.92
29.68,-95.57
30.03,-95.86
29.62,-95.48
29.89,-95.43
29.83,-95.52
27.78,-80.46
29.66,-82.32
28.33,-81.38
28.48,-81.36
28.05,-82.54
30.69,-90.03
29.94,-90.08
40.33,-74.05
39.44,-74.81
39.42,-74.63
40.86,-94.05
26.15,-80.18
26.12,-81.75
28.51,-81.3
38.47,-120.05
37.84,-122.21
26.2,-80.22
28.5,-81.34
26.36,-81.8
33.8,-116.47
43.45,-114.27
34.97,-76.81
28.69,-81.42
27.15,-80.31
31.14,-81.4
31.17,-81.5
44.71,-93.45
29.42,-94.93
29.32,-94.77
40.92,-73.87
40.65,-73.15
40.04,-74.05
38.57,-94.4
33.54,-93.22
35.67,-97.48
37.77,-97.11
38.56,-94.88
38.93,-94.82
25.71,-80.33
25.79,-80.16
25.96,-80.16
25.89,-80.34
25.89,-80.18
29.56,-95.1
29.51,-82.08
25.87,-80.29
39.16,-74.69
39.27,-74.58
38.99,-74.82
37.9,-122.26
29.3,-94.79
29.29,-94.8
29.41,-94.93
25.95,-80.24
25.95,-80.16
27.44,-80.37
28.59,-81.44
39.71,-105.37
42.96,-73.92
39.28,-74.56
38.96,-74.85
31.18,-81.51
32.08,-81.1
32.02,-80.97
32.04,-81
33.43,-83.99
46.71,-96.02
43.5,-95.09
41.4,-73.46
29.86,-95.31
29.48,-95.09
29.44,-95.31
29.68,-95.07
29.63,-95.44
29.3,-94.78
28.96,-95.96
29.18,-95.42
29.9,-94.01
29.37,-95.12
29.28,-94.82
29.32,-94.77
29.27,-94.84
30.02,-93.85
25.6,-80.33
25.69,-80.27
25.65,-80.33
41.65,-70.62
25.65,-80.36
41.66,-70.92
32.09,-81.25
41.5,-71.28
34.23,-79.91
35.2,-79.01
39.06,-74.75
34.11,-118.63
38.24,-120.33
29.5,-94.98
27.91,-82.49
30.26,-87.69
32.06,-81.04
31.18,-81.38
32,-80.99
34.97,-85.31
31.14,-81.38
30.7,-88.09
40.34,-74.08
41.68,-69.97
39.24,-75.17
36.33,-95.17
38.99,-74.95
38.98,-74.94
40.22,-74.03
39.27,-74.6
40,-74.13
40.58,-74.22
29.78,-95.38
29.31,-94.78
29.92,-93.95
32.66,-96.81
33.4,-84.03
35.81,-80.93
33.62,-86.7
28.44,-96.42
48.51,-121.97
38.72,-123.47
32.38,-90.2
30.17,-93.39
30.85,-89.54
30.49,-89.71
32.02,-80.86
33.73,-84.2
32.07,-81.1
32.05,-81.08
33.64,-83.95
31.99,-81.12
31.65,-106.27
29.6,-95.48
29.28,-94.83
29.22,-94.94
29.69,-98.14
29.29,-94.8
24.56,-81.8
25.94,-80.33
26.24,-81.75
28.32,-81.36
28.34,-81.36
39.07,-74.75
40.3,-74.04
29.28,-94.81
29.29,-94.79
29.5,-94.92
29.26,-94.84
29.37,-98.5
27.6,-99.52
31.78,-106.34
29.57,-95.54
29.29,-94.8
29.03,-95.46
29.84,-95.46
26.39,-98.82
38.99,-74.94
39.33,-74.5
39.96,-74.12
39.33,-74.5
35.77,-89.6
32.9,-96.62
29.46,-95.07
31.15,-81.49
32.05,-81.08
31.28,-81.34
43.09,-87.97
35.01,-106.71
35.58,-105.63
33.85,-84.58
26.66,-82.13
31.18,-81.38
39.64,-74.18
32.21,-95.21
29.87,-98.61
32.65,-97.03
29.42,-94.93
28.92,-81.92
26.2,-81.8
48.68,-123.17
47.23,-122.48
37.6,-77.53
30.71,-96.39
48.37,-120.26
37.72,-88.56
40.4,-79.61
40.28,-78.92
25.47,-80.46
31.15,-81.37
31.14,-81.49
34.13,-79.75
41.85,-71.42
26.17,-80.31
25.98,-80.27
26.11,-80.16
39.91,-74.08
32.4,-96.76
29.87,-97.98
29.38,-95.08
28.95,-95.36
28.95,-95.36
29.4,-94.92
35.21,-101.87
32.74,-96.83
33.13,-96.09
46.97,-119.05
26.25,-98.24
29.97,-94.02
29.01,-95.3
33.54,-95.74
33.51,-101.89
26.16,-97.92
30.69,-93.84
37.34,-76.6
31.37,-81.44
36.83,-75.98
38.94,-74.92
31.14,-81.39
28.62,-81.3
34.44,-77.55
33.44,-79.13
27.99,-82.76
25.76,-80.27
35.8,-84.16
41.64,-88.09
37.64,-119
41.94,-87.77
26.29,-80.25
38.67,-77.32
38.91,-104.98
25.59,-80.33
30.04,-90.26
29.92,-90.11
29.98,-90.37
26,-80.4
25.7,-80.29
26.41,-80.19
26.08,-80.39
26.12,-80.13
40,-75.65
34.13,-118.62
34.44,-119.7
32.52,-80.97
33.57,-84.02
32.29,-90.11
42.46,-104.37
39.62,-105.29
40.58,-73.7
40.75,-73.97
38.76,-76.28
35.82,-83.58
39.68,-104.98
43.36,-71.63
47.36,-121.93
39.5,-105.41
47.66,-117.18
48.89,-122.36
37.64,-77.43
37.29,-79.16
36.76,-76.07
25.91,-80.16
26.28,-80.11
25.97,-80.12
25.86,-80.17
25.74,-80.29
25.65,-80.38
25.75,-80.39
25.86,-80.2
25.77,-80.42
25.93,-80.12
25.09,-80.43
26.26,-80.19
30.38,-87.09
26.26,-80.24
33.34,-118.33
38.39,-122.3
37.36,-122.21
27.81,-82.71
30.49,-87.71
30.42,-88.64
27.84,-97.06
47.11,-122.42
47.73,-116.89
35.68,-79.73
26.06,-80.27
36.6,-82.2
38.47,-81.68
29.95,-90.07
46.88,-67.95
41.53,-71.23
41.49,-71.28
35.6,-80.45
39.13,-78.16
26.89,-80.25
30.3,-89.43
30.28,-87.7
30.44,-89.11
26.1,-80.27
32.07,-81.09
29.59,-95.52
30.5,-89.59
29.94,-90.08
36.29,-115.19
26.04,-80.19
25.93,-80.28
26.23,-80.12
48.12,-119.84
36.42,-95.47
36.21,-95.94
35.88,-97.41
30.37,-90.05
29.71,-95.37
32.53,-97.44
32.15,-94.8
32.26,-95.13
29.34,-94.95
26.29,-98.16
29.72,-95.42
28.55,-81.17
32.82,-97.42
29.48,-94.57
44.04,-84.82
29.77,-95.37
25.86,-80.31
25.99,-80.24
37.08,-122.09
39.15,-74.7
40.62,-73.73
38.95,-119.95
34.44,-119.58
33.26,-84.07
30.89,-88.05
25.99,-80.23
35.96,-84.57
41.56,-70.65
35.31,-82.55
28.43,-81.5
42.21,-71.21
32.13,-80.8
32.13,-80.81
42.9,-78.62
40.04,-75.45
30.53,-90.08
34.16,-118.69
37.79,-122.45
37.56,-122.34
34.03,-118.78
32.72,-97.41
26.49,-80.11
25.76,-80.19
30.64,-88.11
39.03,-74.85
28.6,-81.7
29.32,-81.5
39.38,-120.83
33.62,-117.61
26.28,-80.27
39.48,-75.17
29.79,-95.17
26.18,-80.21
41.98,-87.7
41.28,-72.84
30.41,-88.94
31.2,-81.33
33.56,-84.5
41.68,-70.02
29.39,-94.9
31.76,-106.29
29.98,-93.99
30.09,-94.15
26.31,-80.15
29.28,-94.81
29.65,-95.49
28.63,-96.64
29.05,-95.67
29.57,-95.35
29.27,-94.84
28.95,-95.35
36.77,-76.02
44.09,-115.83
30.45,-91.15
30.42,-89.04
30.91,-88.59
29.98,-90.36
30.7,-88.16
39.66,-74.22
32.58,-80.16
34.07,-81.21
28.61,-81.39
30.74,-89.69
36,-78.83
30.38,-88.52
25.65,-80.31
33.83,-78.66
25.58,-80.32
25.65,-80.31
26.17,-80.13
40.45,-74.17
39.66,-74.17
39.34,-74.49
30.25,-88.11
32.01,-80.87
39.68,-105.05
30.28,-87.68
45.01,-67.39
44.49,-71.94
25.78,-80.24
26.87,-80.09
25.65,-80.27
26.19,-80.23
25.76,-80.37
25.83,-80.13
39.75,-106.12
39.23,-74.63
39.39,-74.39
40.4,-73.99
39.39,-74.4
39.65,-74.18
39.99,-74.07
28.71,-81.1
28.04,-82.35
25.88,-80.13
38.97,-74.84
39.15,-74.7
27.7,-80.47
39.84,-76.86
28.66,-81.46
30.6,-83.55
28.66,-82.12
44.46,-87.94
29.42,-95.09
30.43,-98.33
29.29,-94.82
27.99,-82.45
25.97,-80.12
25.87,-80.19
25.09,-80.43
26.9,-80.18
28.39,-81.37
28.45,-81.55
27.92,-80.68
39.29,-74.57
26.31,-81.72
29.92,-90.12
29.3,-94.79
29.17,-96.28
30,-93.95
29.91,-93.95
28.82,-81.53
24.55,-81.78
30.29,-87.52
41.11,-81.65
41.59,-83.82
40.39,-81.35
38.77,-75.14
38.53,-75.06
32.64,-114.41
38.93,-75.58
32.71,-114.63
39.1,-75.58
33.47,-112.14
31.43,-109.89
39.1,-75.41
32.14,-110.9
34.75,-112.02
35.62,-112.02
33.63,-112.02
32.23,-110.96
32.26,-110.98
34.1,-112.83
39.46,-75.66
33.4,-112.08
33.61,-112.38
35.24,-111.68
33.64,-112.03
35.03,-114.38
39.56,-119.78
46.06,-118.34
46.02,-112.54
46.17,-113.29
47.2,-114.89
47.19,-114.88
46.97,-123.85
46.87,-113.99
47.11,-116.39
46.2,-114.15
47.73,-116.15
48.32,-115.52
47.67,-117.43
35.13,-108.5
35.99,-106.06
46.01,-112.54
46.98,-123.88
42.21,-121.72
43.36,-124.31
35.07,-106.65
42.89,-114.75
34.18,-103.34
44.71,-122.88
43.1,-124.42
38.26,-104.62
47.15,-122.43
40.78,-111.72
40.22,-104.83
37.18,-104.52
48.27,-116.56
39.54,-119.75
40.18,-118.48
44.52,-116.05
33.36,-104.53
33.37,-105.67
34.41,-103.22
37.7,-113.17
41.1,-104.81
38.71,-112.05
42.46,-112.12
42.23,-121.78
36.37,-104.58
46.32,-120.02
46.6,-120.56
43.36,-124.2
38.17,-103.94
38.22,-103.75
32.81,-79.89
32.74,-80.05
41.19,-73.16
36.16,-81.86
39.1,-87.41
41.61,-72.89
29.97,-90.37
30.21,-93.22
33.68,-79.81
30.02,-90.1
29.98,-90.27
30.42,-90.08
30.73,-88.15
46.78,-119.14
41.04,-71.91
33.37,-79.28
34.55,-83.33
33.27,-84.3
34.72,-79.84
35.06,-88.1
34.52,-79.84
32.9,-80
34.75,-112.11
48.2,-116.58
36.03,-114.33
31.42,-109.87
38.47,-87.3
33.68,-114.23
33.53,-112.16
35.1,-114.63
33.4,-110.85
33.95,-86.37
32.84,-114.19
47.3,-122.28
26.39,-80.18
41.26,-72.94
29.93,-90.1
30.44,-88.87
26.65,-81.84
41.44,-97.9
29.97,-90.38
30.74,-88.06
25.89,-80.29
25.86,-80.32
26.58,-81.95
27.94,-82.8
31.99,-81.12
35.57,-89.64
28.48,-81.47
30.62,-88.14
40.94,-109.69
25.76,-80.22
34.15,-119.12
47.68,-117.41
30.12,-92.07
30.36,-88.54
39.46,-106.02
27.26,-82.54
25.7,-80.41
33.48,-80.46
41.69,-72.94
47.44,-117.1
31.17,-81.5
47.41,-120.3
48.35,-120.12
41.38,-88.25
26.13,-80.38
27.53,-82.57
41.13,-104.88
40.33,-75.64
40.72,-75.02
30.4,-87.67
44.69,-75.49
46.87,-114.04
42.6,-110.16
43.54,-109.63
41.3,-105.91
37.4,-81.53
33.09,-104.36
33.12,-107.27
60.69,-151.29
25.88,-80.29
44.9,-88.31
33.8,-78.72
41,-76.73
43.04,-87.95
40.01,-87.15
42.52,-93.27
30.63,-88.1
30.85,-88.56
37.49,-76.28
30.07,-90.55
30.49,-90.95
30.4,-88.8
42.25,-84.42
40.54,-74.42
40.52,-74.26
46.34,-120
40.62,-93.93
41.24,-95.93
42.07,-93.87
40.91,-97.09
40.64,-73.2
29.69,-95.48
32.29,-81.24
28.14,-82.76
25.92,-80.24
37.79,-80.68
35.17,-101.87
31.99,-102.06
30.03,-93.84
30.07,-90.5
29.98,-90.05
41.28,-95.97
30.75,-88.11
30.71,-88.09
43.61,-83.18
34.32,-83.27
47.07,-109.42
33.51,-90.16
46.17,-113.29
37.77,-81.18
41.28,-70.11
26.71,-80.1
30.2,-81.38
28.29,-81.41
28.01,-81.94
41.72,-111.8
38.41,-122.57
33.56,-117.19
39.66,-75.36
40.2,-74.76
43.52,-70.37
39.72,-123.35
37.89,-94.82
30.38,-88.74
34.48,-79.36
33.37,-79.28
40.77,-72.87
39.08,-123.18
37.27,-79.96
32.65,-97.1
33.23,-97.58
28.39,-96.84
30.68,-96.39
26.22,-80.23
36.36,-94.13
38.97,-95.24
29.98,-90.21
29.98,-90.09
30.08,-90.47
29.9,-90.09
30.04,-90.27
30.31,-92.02
34.94,-95.76
39.39,-87.53
29.51,-95.02
28.63,-96.62
29.85,-95.27
29.32,-94.77
30.59,-88.24
33.24,-84.28
32.06,-81.11
32.11,-81.17
32.07,-81.12
31.83,-84.36
33.62,-83.87
31.99,-81.09
32.06,-81.11
33.96,-83.43
30.84,-88.19
31.14,-81.49
33.46,-81.94
25.77,-80.26
42.18,-74.02
40.64,-73.2
30.66,-88.09
30.76,-88.09
38.98,-74.82
26.57,-81.87
35.92,-78.59
28.03,-82.46
32.39,-97.33
29.87,-95.35
35.52,-81.57
27.76,-80.6
29.54,-98.59
31.96,-95.25
29.23,-99.8
34.02,-98.23
28.32,-97.28
33.19,-96.85
29.8,-95.31
31.79,-106.44
46.59,-112
25.76,-80.39
26.41,-81.42
25.78,-80.24
25.78,-80.23
26.16,-80.21
25.91,-80.32
28.58,-81.38
25.71,-80.43
25.95,-80.31
26.2,-80.23
28.85,-81.76
25.04,-80.49
25.81,-80.13
25.58,-80.34
30.65,-88.15
33.85,-96.63
27.61,-97.22
33.71,-84.45
39.97,-74.08
29.31,-90.71
29.99,-93.95
31.99,-96.87
32.74,-97.38
31.13,-95.44
32.01,-97.12
30.72,-94.24
29.75,-95.77
41.3,-72.94
41.6,-93.66
41.15,-100.78
41.19,-96.74
38.99,-74.82
40.23,-74.73
25.69,-80.43
25.76,-80.42
25.8,-80.14
25.81,-80.25
27.45,-80.35
25.78,-80.27
25.74,-80.3
25.77,-80.24
25.88,-80.3
25.74,-80.25
46.58,-120.49
43.21,-123.35
40.71,-112.1
39.67,-74.21
40.93,-74.11
29.93,-93.92
31.78,-106.4
31.97,-98.52
35.84,-98.41
32.26,-90.06
26.34,-81.8
